seen|product|activity|web_desc
1|womens power stride noshow sock with active grip 3 pack multicolour|training|set the groundwork for a strong workout these socks hug the shape of your foot for a distractionfree fit as you move
1|womens power stride noshow sock with active grip 3 pack|training|set the groundwork for a strong workout these socks hug the shape of your foot for a distractionfree fit as you move
1|womens power stride noshow sock with active grip antistink 3 pack|training|with all the features you need to work sweat and rest these socks will get you through your whole day and then some
1|cashlu dropshoulder knit wrap|on the move|postyoga bliss in a sweater throw this relaxedfitting wrap on after savasana for lightweight coverage and warmth
1|limited edition fast and free jacket|running|meet your optimum running layer this jacket combines a breathable waterrepellent fabric front with a fully ventilated mesh fabric back for thermal comfort on misty mornings
1|seawheeze fast and free jacket|running|your best pace awaits this jacket combines a breathable waterrepellent fabric front with a fully ventilated mesh fabric back for thermal comfort on misty mornings runs
1|bowline pant 30 seersucker|on the move|dressed up or down these pants powered by abc technology make you feel ready for anything
1|bowline pant 30 utilitech|on the move|dress them up or down these pants powered by abc technology make you feel ready for anything
1|bowline pant 30 stretch ripstop|on the move|these pants play well with a sweatshirt or buttonup putting you in a longweekend state of mind any day of the week
1|lightweight mesh reversible yoga tshirt|yoga|hold nothing back layered over your favourite bra this mesh yoga tee offers sheer breathable barelythere coverage
1|down and around crew|on the move|a touch of frost can make the world sparkle zipup some warmth and explore the day in this pullover with down insulation and a fit thats made to move
1|navigation loft trapper hat|on the move|navigate the great outdoors in this insulated hat wear the ear warmers down when youre caught in a cold snap or flip them up and out of the way when the sun comes out
2|womens speed tab sock|running|these lightweight running socks were designed with microcushioning in the heel and toe for added comfort during your sweatiest workouts
1|city sweat short 9 texture|on the move|sometimes basics are best these naturally breathable shorts have your back and your legs too from workout to hang out
1|wideleg highrise crop 19|yoga|these wideleg crops are designed for your sunrise yin yoga practice but youll probably want to keep them on for the rest of your morning ritual
1|surge hybrid pant shorter online only|running|cold weather giving you goosebumps layer on these lightweight run pants theyre cut to stay out of your way without restricting your quads
1|surge hybrid pant shorter reflective online only|running|cold weather giving you goosebumps layer on these lightweight run pants theyre cut to stay out of your way without restricting your quads
1|luxtreme oversized long sleeve crew|on the move|this crew is the epitome of cool comfort with a roomy fit and soft breathable fabric youll never want to take it off
1|french terry oversized long sleeve crew|on the move|this crew is the epitome of cool comfort with a roomy fit and soft breathable fabric youll never want to take it off
1|everlux oversized long sleeve crew|on the move|this crew is the epitome of cool comfort with a roomy fit and soft breathable fabric youll never want to take it off
1|ripstop relaxedfit short jacket|on the move|as the seasons change this jacket remains a sure thing lightweight enough for sunny days it can also layer over a sweater when theres a chill in the air
1|zoned in highrise tight 27|running|zone in run strong with seamless knit zones of support and movement these tights support your muscles without restricting your stride
1|BrightJupiter lab seamless cropped training tank top|training|this superlightweight racerback is made in a mesh fabric so you can train hard without overheating
2|airwrap hoodie emboss wordmark|on the move|carry on in comfort this boxy hoodie feels cool and smooth next to skin and dries quickly so you can continue your cooldown after the sweat stops
2|airwrap modal pullover hoodie|on the move|carry on in comfort this boxy hoodie feels cool and smooth next to skin and dries quickly so you can continue your cooldown after the sweat stops
1|airwrap pullover hoodie colour seam|on the move|carry on in comfort this boxy hoodie feels cool and smooth next to skin and dries quickly so you can continue your cooldown after the sweat stops
1|down for it all vest|on the move|this downfilled vest keeps your core warm while stretchy fabric panels help you move with ease
2|ready to rulu slimfit highrise jogger full length|on the move|feels so good cooldown stretches are even better in supersoft brushed rulu fabric that feels incredible against your skin
8|ready to rulu slimfit highrise jogger full length|on the move|these soft sweatwicking joggers have you covered for warming up cooling down and chilling out
1|ready to rulu highrise jogger full length|on the move|feels so good cooldown stretches are even better insupersoft brushed rulu fabric that feels incredibleagainst your skin
1|ready to rulu slimfit highrise jogger full length|on the move|restore your body and mind in these joggers stretchy brushed fabric lets you sit or stretch in total comfort
2|ready to crush highrise velour jogger|on the move|if youre seeking creature comforts kick back in these soft and cozy velour joggers
3|ready to rulu highrise jogger asia fit|on the move|these soft sweatwicking joggers have you covered for warming up cooling down and chilling out
1|wunderlust belt bag|on the move|hold your essentials close compact and contoured to hug your body for a seamless fit this bag is designed to be worn around the waist or over the shoulder
1|insulated wrap jacket online only|on the move|cold out there cozy in here this wrap is warmly insulated yet feels lightweight making it ideal for layering over and under things
11|wunder under highrise tight 25 fullon luxtreme|yoga and training|the one that started it all lunge train or flow in our versatile wunder under collection powered by luxtreme fabric these tights are a sweaty staple
1|wunder under highrise ribbed tight 24|yoga and training|the one that started it all lunge train or flow in our versatile wunder under collection ribbed luxtreme fabric makes these tights a sweaty staple
9|wunder under highrise tight 24 luxtreme asia fit|yoga and training|the one that started it all lunge train or flow in our versatile wunder under collection powered by luxtreme fabric these tights are a sweaty staple
1|wunder under highrise tight 25 fullon luxtreme|yoga|we updated our classic high times pant to create these highrise tightsperfect for yoga or the gym
1|wunder under highrise tight 25 luxtreme|yoga and training|the one that started it all lunge train or flow in our versatile wunder under collection ribbed luxtreme fabric makes these tights a sweaty staple
2|wunder under highrise tight 25|yoga|these versatile highrise tights were designed to fit like a second skinperfect for yoga or the gym
1|wunder under highrise tight 25|yoga and training|the one that started it all lunge train or flow in our versatile wunder under collection powered by luxtreme fabric these tights are a sweaty staple
1|wunder under highrise tight 25|yoga|these versatile highrise tights were designed to fit like a second skin perfect for yoga or the gym made with our fourway stretch fullon luon fabric thats sweatwicking and offers great support and coverage
1|wunder under highrise tight 25 luxtreme|yoga and training|train flow and restore in the versatile wunder under collection powered by luxtreme fabric these tights are a sweaty staple
1|wunder under highrise tight 25 nulux|yoga|lunge ride or flow these versatile tights are designed to fit like a second skinperfect for however you choose to sweat
1|wunder under highrise tight 25 luxtreme|yoga and training|the one that started it all lunge train or flow in the versatile wunder under collection luxtreme fabric makes these tights a sweaty staple
1|wunder under highrise tight 25 fullon luxtreme|yoga and training|the one that started it all lunge train or flow in the versatile wunder under collection luxtreme fabric makes these crops a sweaty staple
1|wunder under highrise tight 25|yoga and training|the one that started it all train flow and restore in the versatile wunder under collection luon fabric makes these tights a sweaty staple
1|wunder under luxtreme highrise tight 24|yoga and training|the one that started it all lunge train or flow in the versatile wunder under collection powered by luxtreme fabric these tights are a sweaty staple
1|wunder under highrise tight 25 shine|yoga and training|the one that started it all lunge train or flow in our versatile wunder under collection powered by luxtreme fabric these tights are a sweaty staple
2|wunder under highrise tight 25 ribbed fabric|yoga and training|the one that started it all lunge train or flow in our versatile wunder under collection ribbed luxtreme fabric makes these tights a sweaty staple
1|wunder under highrise tight 25 luxtreme|yoga and training|lunge ride or flow these versatile tights are designed to fit like a second skinperfect for however you choose to sweat
1|wunder under highrise tight 25 fullon luon asia fit|training|these versatile highrise tights were designed to fit like a second skin perfect for yoga or the gym
1|wunder under highrise tight 25 fullon luxtreme|yoga|these versatile highrise tights were designed to fit like a second skin perfect for yoga or the gym
1|wunder under highrise tight 25 20y collection fullon luxtreme|yoga|these highrise 78length pants were designed to take you from hatha to happy hour made with fullon luxtreme fabric that offers great support and coverage with a cool smooth feel
1|wunder under highrise tight 25 luon|yoga and training|lunge ride or flow these versatile tights are designed to fit like a second skinperfect for however you choose to sweat
1|wunder under highrise tight 25 luxtreme asia fit|yoga|these versatile highrise tights were designed to fit like a second skinperfect for yoga or the gym
1|BrightJupiter lab nulux and mesh onepiece 8|training|sheer freedom this catsuit is  constructed with layered  nulux and mesh fabric to  provide stretch support and  airflow as you power through  your workout
1|5 year basic long sleeve henley shirt|on the move|the one you reach for this longtime fan favourite is soft and comfortable all day long
1|final mile jacket online only|running|from the first few steps to the final mile keep your mind on your run in this lightweight technical jacket
2|meshback training cropped tank top|training|stay covered but keep it breezy this cropped training tank has a high neckline at the front and a mesh fabric back to keep the air flowing while the intensity builds
1|new venture blazer|on the move|this blazers destination wherever youre headed lightweight easycare fabric on this travel and commutefriendly layer helps you feel ready for anything
1|new venture blazer|on the move|this blazers destination wherever youre headed lightweight waterrepellent fabric on this travel and commutefriendly layer help you feel ready for anything
1|lunar new year license to train hoodie|training|gear up and get down to business stretchy abrasionresistant fabric with waterrepellent panels will keep you motivated indoors or out
1|asymmetrical hem tank top|on the move|simply irresistible we made this shirt from ribbed fabric thats so peachfuzz soft you wont want to take it off
2|pima cotton longlength tank top|on the move|simply perfect soft pima cotton fabric and an effortlessly relaxed fit make this tank your goto
2|ribbed openback short sleeve shirt|on the move|one touch of this softly textured short sleeve and youll want to wear it on repeat layer it over your favourite top or let the open back breathe
1|BrightJupiter lab textured grid highrise jogger 28|on the move|more than meets the eye the  raised texture on these  highrise joggers adds  dimension to your wardrobe and  breathable insulation to your  daily pursuits
1|flash forward halfzip online only|running|upgrade your coldweather jog to a goneinaflash run in this sleek reflective jacket
1|pack it down jacket|on the move|layering season is here wear this packable travelfriendly down jacket on its own or under a shell for added warmth
3|pack it down jacket|on the move|layering season is here wear this packable travelfriendly down jacket on its own or under a rainproof jacket for added warmth
1|pack it down jacket|on the move|layering season is here wear this packable travelfriendly down jacket on its own or under a rainproof shell for added warmth
1|pure puff jacket|on the move|dont let cold weather put a freeze on your plans this puffy jacket has clean lines and is filled with primaloft insulation to keep you feeling warm and put together
1|enlite hydraffinity vest online only high support ae cups|running|be your own hydration station this revolutionary distancerunning vest merges highperformancebra support with quicksip hydration
2|mens cold pursuit knit gloves|on the move|these cottoncashmere knit gloves help out your hands on chilly days wear them on their own or under your mittens to dial up the warmth
2|mens cold pursuit knit gloves|on the move|keep your hands cozy on cold blustery days with these warm merino wool knit gloves
1|radiant motion bramedium support bc cup|training|keep it simple when you sweat this straightstrap bra has adjustable straps that let you find the fit thats right for you
1|all that glimmers swim topab cups|swim|soak up sunny moments in this reversible balletinspired swim top the scoop front and back lend effortless elegance with the bonus of subtle tan lines
1|open tieback short sleeve|on the move|feel the fresh air on your skin in this soft openback top ties on either side let you adjust the fit and change your mind
1|BrightJupiter lab geo quilted down jacket online only|on the move|this shirt jacket stops cold in its tracks filled with primaloft insulation the unique quilted pattern uses thermochannel construction to lock in heat
2|wunderlust backpack 25l online only|on the move|a day full of plans calls for a backpack full of storage options the drawstring opening allows for easy access to stowed items while buckle closures keep your bag securely shut
1|travel luggage tag|on the move|loop this luggage tag around handles to give your travels a pop of colour a snap closure keeps your personal information on a needtoknow basis
3|waterside highwaist swim bottom medium bum coverage|swim|which way to the beach these highwaist swim bottoms keep you feeling covered and confident all day
2|waterrepellent hiking short 8|hiking|dive in or head outyouve got options these waterrepellent hiking shorts are designed for adventures on land or in water
5|power thru highrise short 6|training|smash intense workouts in these slick training shorts made of fabric that helps resist snags from equipment theyre as tough as you are
2|engineered warmth jogger full length|on the move|designed to perform outdoors these merino woolblend joggers have an engineered knit that creates a 3d texture for added warmth and fourway stretch fabric for range of motion
1|engineered warmth relaxed fit jogger|on the move|made to perform on outdoor adventures these merino woolblend joggers are perfect for your coldweather wardrobe
1|limited edition nulux waist highrise running short 4|running|free your stride in these airy and roomy running shorts nulux fabric waistband helps keep them in place with a smooth lightweight feel
2|nulux waist highrise running short 4|running|free your stride in these airy and roomy running shorts nulux fabric waistband helps keep them in place with a smooth lightweight feel
1|small claw hair clips 4 pack|on the move|wavy textured curly or straightwhatever kind of hair youve got these mini hair clips add a pop of fun to your look
3|quickdrying short sleeve polo shirt|golf and tennis|for golf tennis or any way you like to play this classic polo shirt keeps you covered comfortable and ready for another match
1|merino woolblend cardigan|on the move|layer on the softness cozy woolblend fabric and an easy fit make this buttonfront cardigan a timeless staple
1|seek vistas 12 zip jacket|on the move|pop on this waterrepellent jacket for all your walks hikes and city wanders the funnel neck expands for extra breathability
1|BrightJupiter align ribbed highrise crop 23|yoga|when feeling nothing is everything powered by nulu fabric this ribbed version of our BrightJupiter align crops feels weightless and buttery soft
1|BrightJupiter lab pacatus pant|on the move|maximize mobility these relaxedfit track pants are built without outseams and are ergonomically designed for ease of movement
1|tie dye crewneck sweater|on the move|not your grandmas tiedye this relaxedfit crewneck sweater has a unique dye pattern to level up your knitwear game
1|tie dye crewneck sweater|on the move|not your uncles tiedye this relaxedfit crew neck sweater has a unique dye pattern to level up your knitwear game
1|ready and go tank top|yoga|this medium support tank and bra duo was designed to take you through your sweatiest workouts
1|repelshell long jacket|on the move|with a modern silhouette waterproof fabric and a supersoft fleece lining this jacket makes a cozy statement
1|BrightJupiter lab woven long sleeve henley online only|on the move|this henley hits the sweet spot between comfort and function textured waterrepellent fabric and a relaxed silhouette take your casual look up a notch
2|ribbed nulu highneck yoga bra|yoga|reach for release the high neckline on this butterysoft ribbed bra keeps you covered so you can focus on stretching deeper
1|mens micropillow compression kneehigh running sock special edition light cushioning|running|we mapped the movement and impact of a runners foot to create these socks that cushion hug and breathe in all the right places
1|mens micropillow compression kneehigh running sock light cushioning|running|we mapped the movement and impact of a runners foot to create these socks that cushion hug and breathe in all the right places
1|mens micropillow compression kneehigh running sock special edition light cushioning|running|your best pace awaits we mapped the movement and impact of a runners foot to create these socks that cushion hug and breathe in all the right places
1|wunder puff vest tech canvas|on the move|peak coldweather comfort has arrived take winter by storm in this wonderfully warm puffer vest insulated with plush channels of 600fillpower down
1|this instant highrise short|on the move|your surroundings can change on a dime but these tailored shorts made with technical fabric keep you looking and feeling fine on city strolls mountain trails or brunch with your besties
2|mesh panelled training shelf tank top|training|its all you celebrate your strength in this formfitting training tank made with naturally breathable mesh fabric panels to help keep you cool in sweaty studios
3|love crewneck tshirt lightweight|on the move|love the crew youre in day in and day out youll rely on this supersoft tee
1|love crewneck tshirt splatter|on the move|love the crew youre in day in and day out youll rely on this supersoft tee
4|love crewneck tshirt lightweight|on the move|love the crew youre in day in and day out you can rely on this supersoft tee
1|love crewneck tshirt|on the move|love the crew youre in dayin and day out you can rely onthis supersoft tee
1|love crewneck tshirt waffle|on the move|love the crew youre in day in and day out youll rely on this supersoft tee
2|love crew short sleeve tshirt lightweight|on the move|love the crew youre in day in and day out you can rely on this supersoft tee
1|love crewneck tshirt lightweight|on the move|love the crew youre in we designed a supersoft tee you can rely on day in and day out
1|love crew short sleeve tshirt lightweight|on the move|love the crew youre in we designed a supersoft tee you can rely on day in and day out
2|double knit sweater hoodie|on the move|the weekend called and this sweater answered a cozy knit construction and relaxed fit with dropped armholes give you comfort and mobility
1|awake to lace cheeky bikini online only|on the move|a hit of fresh air down there reach for this laceinspired underwear when you want breezy coverage with a smooth look
1|brushed cotton merino blend mockneck|on the move|so soft so cozy the plush premium organic cotton yarns and boxy silhouette of this mock neck sweater will have you thinking twice about cold weather
1|waterside onepiece swimsuit bc cup medium bum coverage online only|swim|an instant vacation classic this onepiece merges straight straps with a plunging back
1|waterside onepiece swimsuit bc cup medium bum coverage online only|swim|an instant vacation classic this onepiece merges straightstrap styling with a plunging back
2|wovenair button front dress|on the move|its a shirt its a dress its both with wrinkleresistant fabric and a roomy silhouette its whatever you need it to be in a snap
2|rise and run long sleeve|running|run with the sun in this uvprotective top a shaped back hem provides freedom of movement
1|set challenger highrise tight 28|training|bring on lunges jumps and burpees these training tights with builtin suspenders stay in place while you challenge your next set
2|mens daily stride crew sock tie dye BrightJupiter|on the move|its the little things that count like these socks with integrated cushioning for allday comfort
1|mens daily stride crew sock tie dye|on the move|its the little things that count like these socks with integrated cushioning for allday comfort
1|mens daily stride crew sock dip dye|on the move|its the little things that count like these socks with integrated cushioning for allday comfort
3|mens daily stride crew sock|on the move|its the little things that count like these socks with integrated cushioning for allday comfort
1|mens daily stride crew sock ice dye|on the move|its the little things that count like these socks with integrated cushioning for allday comfort
1|mens daily stride crew sock sun rainbow|on the move|its the little things that count like these socks with integrated cushioning for allday comfort
1|dynamic movement crew|on the move|this breathable pullover is made with stretchy insulation to keep you wrapped in warmth but never restricted
2|surge jogger shorter online only|running|these lightweight running joggers have zips at the cuff for quick on and off when youre warming up
1|drawstring waterresistant hooded jacket|on the move|take the guesswork out of what to wear lightweight stretchy and waterresistant fabric means this hooded jacket pairs well with whatever you and the weather have planned
1|drawstring bucket crossbody bag online only|on the move|with a classic bucket bag shape this crossbody comes with grab handles and an adjustable shoulder strap to create a custom comfortable fit
3|city sweat crew online only|on the move|everyone needs a good crew soft naturally breathable fabric makes this one just that much better
1|city sweat crew graphic online only|on the move|everyone needs a good crew soft naturally breathable fabric makes this one just that much better
1|city sweat crew|on the move|everyone needs a good crew soft naturally breathable fabric makes this one just that much better
1|light locks skinny scrunchie 3 pack|training|scrunchies a classic for a reason these lightweight skinny ones keep your hair out of the way while you train
1|goal smasher jacket|running|beat your best time in this lightweight run jacket stretch panels and waterrepellent fabric keep you moving through wet weather and the hood packs away when the skies are clear
1|goal smasher jacket pleated|running|beat your best time in this lightweight run jacket stretch panels and waterrepellent fabric keep you moving through wet weather and the hood packs away when the skies are clear
1|pima cotton openback midi dress|on the move|breeze through busy days in this double layered pima cotton dress an open back and slits on the sides keep the air flowing
3|channel cross swim short 7|swim|dive in these swim shorts are made from highperformance fabric thats ready for the ocean the lake or the hot tub
1|against convention long sleeve shirt|on the move|no todo list is too great for this lightweight long sleevedesigned with antistink fabric to provide you with allday comfort
1|BrightJupiter lab woolblend pant shorter|on the move|rain or shine theres no stopping you made from waterrepellent woolblend fabric and designed for maximum mobility these pants are primed for days on the move
2|cashlu sweater wrap|on the move|keep it simple throw on this soft wrap sweater for downtime go time or any time you need an easy layer
1|BrightJupiter align highrise jogger full length|yoga|designed with our unbelievably soft nulu fabric and a relaxed fit at the leg this jogger gives you the perfect nodistractions feeling
1|cruise the circuits short sleeve shirt|on the move|designed for workouts hangouts and everything in between this antistink short sleeve has subtle gathering along the front for a feminine touch
1|ribbed halter crossback swim topab cups|swim|ready for hot days and cool dips this swim top features a halter fit and wide crossback straps
1|new venture pant 32|on the move|arrive calm and collected no matter what these versatile dress pants are made with waterrepellent easycare fabric and feature lots of pockets
2|wunder train contour fit highrise crop 21|training|train hard not hot powered by everlux fabric the wunder train contour fit collection manages heat and sweat while the adjusted hiptowaist ratio fits your curves
1|modalblend turtleneck tunic|on the move|cozy cool coverage is the name of the game in this cocoonshaped turtleneck in a smooth fabric that feels cool to the touch its a layer you wont want to take off
2|team canada womens navigation stretch down jacket coc logo online only|on the move|navigate the great outdoors in this insulated jacket powered by thermochannel construction to lock in heat its made from stretchy fabric to keep you warm and agile in the cold
1|wunder train highrise tight 24 motif|training|train hard not hot powered by everlux the wunder train collection is highly breathable and quickly wicks sweat so you feel less sweaty during and after your workout
1|womens daily stride boot crew sock|on the move|bundle up head to toe these cozy socks are lined in soft terry cushioning for all the comfort and warmth your feet deserve
1|long insulated bomber vest|on the move|easy to layer and easy to love this vest ticks all the coolweather boxes with primaloft insulation and a long length you can bundle up in
1|insulated hiking crew|hiking|summit higher elevations in this hiking crew lightweight insulation and waterrepellent fabric help maintain an ideal temperature in lessthanideal weather
1|liftos commuter backpack 20l|on the move|more than your average commuter four accordionstyle sleeves inside the bag keep items upright and organized while internal straps help secure contents when you hit the road
1|team canada all yours tank top cpc logo online only|on the move|the all yours collection is made from soft comfortable fabrics and easytowear silhouettes that feel amazing and go with just about everything
1|exaltation wrap|on the move|settle into savasana or curl up with a good book in this reversible wrap designed to bring on the cozy
1|exaltation wrap|on the move|silkblended cotton adds extra softness to this reversible wrap so you can sink into ultimate relaxation and coziness
1|waterrepellent insulated vest|on the move|reach for this vest when youve got shoulderseason shivers we filled it with primaloft insulation for lightweight justright warmth
1|its rulu run long sleeve shirt|running|soft fabric and long sleeves make this a goto layer for turning coldweather runs into something kind of runderful
2|seawheeze light locks scrunchie|training|your best pace awaits keep sweaty locks out of the way with this lightweight scrunchie
1|seawheeze light locks scrunchie|on the move|keep sweaty locks out of the  way with this lightweight  scrunchie
1|BrightJupiter lab vneck long sleeve bodysuit|on the move|no need to adjust we used featherlight fabric to create  this longsleeve bodysuit that stays put through your daily  pursuits
2|all night festival bag zip top 5l|on the move|we updated the all night festival bag to bring you the versatility you love plus a little extra clip your favourite nano pack onto the strap loops for one less thing to carry
1|city adventurer large duffle bag 29l|on the move|this city adventurer duffle is designed for worktoworkout transitions and weektoweekend expeditions
1|city adventurer large duffle bag 29l|on the move|introducing the newest addition to our city adventurer collection this duffle is designed for worktoworkout transitions and weektoweekend expeditions
1|city adventurer duffle bag 29l club patch|on the move|this city adventurer duffle is designed for worktoworkout transitions and weektoweekend expeditions
1|strap length when fully extended 150cm 59|volume 29l|
1|lunar new year logo coin pouch|on the move|keep the small things close this pouch features a dring and belt loop so you can clip it onto a tote or slide it onto a belt bag
1|city street card case|on the move|this zippered card case fits just the essentials and tucks easily in your pocket
1|city street card case|on the move|this zippered card case fits  just the essentials and tucks  easily in your pocket
2|pleated modal fleece pullover|on the move|why not keep your options open the boat neck on this relaxedfit pullover can be worn as is or pulled over one shoulder
1|abc slimfit pant 30 cord|on the move|the fivepocket jean reinvented these slimfit pants are engineered to give you freedom of movement and allday comfort
1|to the point long sleeve shirt mist|on the move|long loose and lightweight this stretchy top has a high slit on the side making it easy to tie on your hip to shorten the length and switch up the look
6|the hotcold bottle 17oz|on the move|hey there hot stuff this bottle features a singletouch openandclose lid for easy onehanded drinking on the go
1|power position highrise tight 25|training|power through intense training sessions in tights designed to maximize movement and comfort waistband pockets keep workout essentials close by
4|flow y nulu bra light support ac cups asia fit|yoga|what bra we designed our classic racerback so you wont feel anything but your practice
1|throwback triplezip duffle bag 25l|on the move|inspired by our archives this daytonight duffle has a triplezip opening with access to three separate compartments so your work and workout gear never get the chance to meet
1|utilitech carpenter pant|on the move|prioritize comfort fourway stretch fabric and a ventilated gusset make these carpenter pants a hardworking goto
1|daily essentials mini pouch 15l|on the move|start your day with a smile this pouch is perfect for carrying travel essentials and all those small items you want to keep track of
1|modal fleece crossover pullover|on the move|layered over your favourite tank tee or turtleneck this fleece pullover brings a dose of softness to your day
1|seamless racerback train bra light support bc cup online only|training|lift push sweat repeat this bra is comfortable and supportive so you can stay focused during training
1|lightweight hooded running jacket|running|keep the finish line in mind this lightweight jacket has all the features you need to run long strong and often
1|belted long insulated jacket online only|on the move|welcome to cozy season this quilted jacket is lightly insulated for warmth and will keep you dry in a drizzle
1|honeycomb dip square swim top ab cup|swim|time for a dip this swim top is ready to chill by the pool and features a structured front v detail for an extra peek of skin
1|the rest is written crossbody bag 2l|on the move|minimalist and highly practical this bag can be worn over your shoulder or across your body and conceals easily under layered clothing clip the strap vertically or horizontally
1|flatfront relaxed highrise short 45|on the move|long sunny days call for lightweight comfy shorts this relaxedfit pair give you room to move and arent afraid of a little sweat
1|cold city jacket|on the move|go on challenge the elements this waterproof jacket is generously insulated with goose down to keep you warm and dry in cold wet conditions
1|evergreen jacket|on the move|pack up and head out this waterrepellent jacket converts into an easycarry pouch you can wear strapped around your hand when the weather warms up
1|crew neck training tshirt|training|whether youre lifting running or grinding coffee this lightweight breathable top is ready for all your daily reps sets and rituals
2|mens daily stride lowankle sock 3 pack multicolour|on the move|its the little things that count like these socks with integrated cushioning for allday comfort
1|mens daily stride lowankle sock 3 pack|on the move|its the little things that count like these socks with integrated cushioning for allday comfort
1|softstreme gathered tshirt|on the move|feel it to believe it the inside of this tee feels like a cool breeze on warm skin while the outside is peachfuzz soft what more could you want after a workout
1|pinnacle warmth jacket|on the move|when cold weather calls stay toasty and dry in this waterproof 700fillpower goose down insulated jacket
1|pinnacle warmth jacket|on the move|with sealed seams and 700fillpower goose down insulation this waterproof jacket was designed to keep you warm and dry when the temperature drops
2|sidecinch shopper bag 18l|on the move|its a cinch really adjustable side details let you customize the look and function of this lightweight tote cinch it tightly for added security or let it out for extra room
1|lunar new year sidecinch shopper bag 18l|on the move|its a cinch really adjustable side details let you customize the look and function of this lightweight tote cinch it tightly for added security or let it out for extra room
1|beyond the studio pant slim|on the move|these comfy sweatwicking joggers are made for quick getaways after class
1|classicfit cotton blend long sleeve shirt|on the move|an everyday essential elevated a soft blend of cotton lyocell and linen makes this stretchy top a first choice any day of the week
1|classicfit cottonblend long sleeve shirt|on the move|an everyday essential elevated a soft blend of cotton lyocell and linen makes this stretchy top a first choice any day of the week
2|to the beat tight 24 BrightJupiter x soulcycle|training|focus on the beat not the heat in sweatwicking quickdrying indoorcycling tights
6|cool racerback tank top nulu|yoga|just you and your mat this supersoft version of our classic slim racerback tank stays put and out of your way
10|cool racerback tank top nulu|yoga|focus focus focus our yogifavourite cool racerback tank powered by nulu fabric has a contoured fit so it stays put and out of your way
4|cool racerback tank top|training|its focus time this versatile tank has a slim racerback and a contoured fit that stays put and out of your way when youre training hard
1|cool racerback tank top|training|dial into your training in this versatile racerback tank with a closetobody fit to help it stay put and out of your way
1|cool racerback tank top asia fit|yoga|dial into your training in this versatile racerback tank with a closetobody fit to help it stay put and out of your way
1|cool racerback tank top nulu|training|its focus time this versatile tank has a slim racerback and a contoured fit that stays put and out of your way when youre training hard
1|cool racerback tank top|training|dial into your training in this versatile racerback tank with a contoured fit that stays put on your body and out of your way
3|cool racerback tank top|yoga|this versatile racerback was designed to stay put and out of your way when youre on the move
1|cool racerback tank top everlux|yoga|focus focus focus our cool racerback yoga tank powered by everlux fabric has a contoured fit so it stays put and out of your way
2|cool racerback tank top|yoga|this versatile tank has a slim racerback that stays putand out of your waywhen youre on the move
1|cool racerback tank top|yoga|its focus time this versatile tank has a slim racerback and a contoured fit that stays put and out of your way when youre training hard
1|cool racerback tank top|yoga|this versatile racerback was designed to stay put and out of your way while youre on the move made with light luon fabric that is lightweight soft sweatwicking and fourway stretch
1|cool racerback tank top luxtreme|yoga|just you and your mat this supersoft version of our classic slim racerback tank stays put and out of your way
2|cool racerback tank top|on the move|this versatile racerback was designed to stay put and out of your way when youre on the move
1|la asymmetrical cutout crew|on the move|a reputation a vibe a way of life designed in la for you show off your shoulder or favourite bra in this asymmetrical cutout pullover side slits give you ease of movement
1|superhighrise pleated shorts|on the move|take these shorts out for a stroll around the block or away for the weekend they pair with whatever you have planned
1|wunder puff trapper hat|on the move|take winter by storm in this wonderfully warm downinsulated trapper hat wear the earflaps down for warmth or snap them up when the temperature rises
1|BrightJupiter lab cropped muscle tank|training|minimal design built for maximum output this lightweight tank is made with mesh fabric and dropped armholes to keep you moving
1|womens secret sock|on the move|put a little skip in your step with these everyday socks designed to stay hidden and keep your feet comfortable in lowcut shoes
1|womens secret sock|on the move|these socks are designed to
1|womens secret sock|on the move|they think youre barefoot but your feet are dry and comfortable in these grippy noshow socks
1|womens secret sock|on the move|these socks were designed to stay hidden and keep your feet comfortable in lowcut shoes
1|womens secret sock|on the move|these socks are designed to stay hidden and keep your feet comfortable in lowcut shoes
2|wunder train contour fit highrise tight 28 online only|training|train hard not hot powered by everlux the wunder train collection is highly breathable and quickly wicks sweat so you feel less sweaty during and after your workout
3|wunder train contour fit highrise tight 28 online only|training|train hard not hot powered by everlux fabric the wunder train contour fit collection manages heat and sweat while the adjusted hiptowaist ratio fits your curves
1|muscle love cropped tank top graphic|training|whether youre up for tranquil vibes or a big sweat the low armholes in this trainingfriendly top keep the breeze flowing
1|muscle love cropped tank top|on the move|tranquil vibes this cropped tank has low armholes that keep the breeze flowing after practice
1|lunar new year textured tech hoodie|training|comfort meet performance this versatile hoodie can handle warmups cooldowns and all hours in between
1|textured knit halfzip sweater|on the move|warm soft cottonblend fabric makes this halfzip sweater a nobrainer for cold and dreary days
2|retreat yourself pullover|on the move|with a bell sleeve and swing silhouette this pullover is made to layer throw it on to stay warm during your restorative practice
1|lap training onepiece online only|swim|dive in and claim your lane with sleek fabric and our sport fit every element of this swimsuit works together so you propel through the water with speed
1|convertible highrise hiking jogger|hiking|detours welcome zip the legs off these hiking joggers to convert them into shorts when the temperature rises
1|fast and free short sleeve shirt bold lines|running|take it further than the finish line keep it going in this breathable run top made with super lightweight mesh fabric
1|BrightJupiter lab texturedgrid fleece hoodie|on the move|engineered fleece on this funnelneck hoodie provides breathable coverage to keep your core warm without trapping in heat
